zams_mass_1,zams_mass_2,zams_separation_rsun,metallicity,delay_time_myr,mass_1,mass_2,stellar_type_1,stellar_type_2
31.0507,12.8567,688.753386545414,0.00021245782310305673,175.8263,11.0123,10.7274,14,14
41.8762,25.2222,709.9971102892515,0.0017233109056135083,320.07579,8.48676,5.1795,14,14
26.7376,11.439,377.4211672713482,0.00021245782310305673,63.8783,6.32431,5.92113,14,14
39.8399,25.6087,3720.7124290669285,0.0017233109056135083,321.67884,9.58984,5.09264,14,14
44.0167,30.6636,658.5020026387814,0.0010211532151708522,90.25961,11.6933,8.67037,14,14
29.5407,15.0193,554.3747944742801,0.00012589254117941674,271.6127,9.6736,9.88106,14,14
31.0507,14.5297,287.0063260797547,0.0010211532151708522,73.1619,6.52898,7.0872,14,14
28.1042,22.2385,8283.671097845248,0.0017233109056135083,4397.60253,16.6541,2.81456,14,14
32.6378,16.149,293.58432878490055,0.0003585464728475101,66.4961,9.3754,10.6108,14,14
41.8762,24.6577,133.98658253962893,0.0010211532151708522,985.70923,10.1741,13.8391,14,14
23.0236,10.1678,360.2210003811021,0.0003585464728475101,216.2133,4.33766,4.25651,14,14
26.7376,21.1581,10172.019822090955,0.0006050875007272942,1068.72683,16.9241,2.92115,14,14
29.5407,20.1913,2719.4079111012034,0.00012589254117941674,4622.4866,18.7627,5.58194,14,14
34.306,16.5096,238.36062870411845,0.0006050875007272942,100.2954,9.13284,10.5512,14,14
39.8399,18.6274,179.03823310492518,0.0017233109056135083,40.5079,8.03695,7.3624,14,14
34.306,34.0749,2167.6064382306886,0.0006050875007272942,1073.17159,9.82242,9.24666,14,14
28.1042,18.4541,876.8922372749666,0.0006050875007272942,201.6131,7.39685,9.01355,14,14
24.2005,17.524,2054.30010802557,0.0003585464728475101,2859.4592,10.0746,4.4712,14,14
37.9026,23.3435,181.83085604758836,0.0003585464728475101,23.88053,12.4082,13.0867,14,14
56.4761,23.3361,939.2303089305328,0.004908051271653857,16.877,9.49621,2.43338,14,14
26.7376,16.1186,180.37540241849015,0.0006050875007272942,69.7866,5.33071,7.79529,14,14
26.7376,11.079,818.1658483080148,0.00012589254117941674,575.0523,7.86544,5.36589,14,14
32.6378,28.0209,7888.797284808057,0.0017233109056135083,329.43524,22.7056,4.15947,14,14
31.0507,20.3852,4286.9119073596585,0.004908051271653857,376.54621,12.7219,2.17967,14,14
26.7376,26.5576,1024.9636243323441,0.0006050875007272942,15.98714,5.66793,5.29459,14,14
29.5407,18.9978,168.26878311541213,0.0003585464728475101,36.6034,7.29064,11.3747,14,14
26.7376,9.99911,416.35024679277006,0.00021245782310305673,11803.3194,6.2575,3.84212,14,14
41.8762,29.174,579.62121910658,0.0010211532151708522,127.51927,10.8616,7.8013,14,14
26.7376,18.2784,204.87690184313473,0.0003585464728475101,106.3393,6.0241,10.0293,14,14
34.306,17.8964,123.57875241043855,0.0010211532151708522,140.1142,5.94949,5.50616,14,14
31.0507,29.1685,612.9147543634521,0.0003585464728475101,2705.59903,8.66943,7.43069,14,14
31.0507,11.6019,180.08930812819497,0.0003585464728475101,185.0293,7.74177,5.86069,14,14
17.0717,8.47119,460.516391684945,0.0017233109056135083,7047.9247,2.29965,2.36589,14,14
46.2665,23.4952,296.01005305091167,0.0017233109056135083,56.66418,11.056,6.37083,14,14
34.306,12.8117,324.25883308631467,0.0029082809839751293,2947.1013,4.45231,2.48819,14,14
23.0236,17.9123,309.4082591195422,0.0006050875007272942,135.8893,4.29096,7.60497,14,14
29.5407,25.3633,3509.0857416690005,0.0006050875007272942,6355.05487,21.6838,5.00803,14,14
28.1042,25.266,2229.9739275856437,0.0006050875007272942,3020.2642,14.6328,7.58474,14,14
44.0167,28.8832,335.64053361514715,0.0010211532151708522,30.35056,11.6874,9.40758,14,14
